127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/plugins.js?_=9.0.0 HTTP/1.1" 200 1783
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/replication.js?_=9.0.0 HTTP/1.1" 200 2525
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/schema.js?_=9.0.0 HTTP/1.1" 200 4486
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/schema-designer.js?_=9.0.0 HTTP/1.1" 200 14494
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/security.js?_=9.0.0 HTTP/1.1" 200 9721
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/sqlquery.js?_=9.0.0 HTTP/1.1" 200 1305
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/unknown.js?_=9.0.0 HTTP/1.1" 200 1874
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/segments.js?_=9.0.0 HTTP/1.1" 200 1295
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/dashboard.png HTTP/1.1" 200 646
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/inbox-document-text.png HTTP/1.1" 200 675
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/logout.png HTTP/1.1" 200 660
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/loader.gif HTTP/1.1" 200 1553
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/box.png HTTP/1.1" 200 508
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/solr-ico.png HTTP/1.1" 200 978
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/users.png HTTP/1.1" 200 870
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/solr.svg HTTP/1.1" 200 3125
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/gear.png HTTP/1.1" 200 736
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/folder-tree.png HTTP/1.1" 200 518
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/network-cloud.png HTTP/1.1" 200 623
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/node-leader.png HTTP/1.1" 200 1308
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/documents-stack.png HTTP/1.1" 200 594
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/book-open-text.png HTTP/1.1" 200 628
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/jar.png HTTP/1.1" 200 805
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/databases.png HTTP/1.1" 200 661
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/molecule.png HTTP/1.1" 200 1657
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/ui-accordion.png HTTP/1.1" 200 583
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/home.png HTTP/1.1" 200 752
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/database--plus.png HTTP/1.1" 200 664
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/node.png HTTP/1.1" 200 548
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/folder.png HTTP/1.1" 200 476
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/funnel.png HTTP/1.1" 200 591
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/magnifier.png HTTP/1.1" 200 700
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/sql.png HTTP/1.1" 200 442
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/document-text.png HTTP/1.1" 200 592
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/block.png HTTP/1.1" 200 630
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/construction.png HTTP/1.1" 200 558
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/script-code.png HTTP/1.1" 200 568
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/mail.png HTTP/1.1" 200 505
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/system-monitor.png HTTP/1.1" 200 547
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/bug.png HTTP/1.1" 200 704
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/chosen-sprite.png HTTP/1.1" 200 538
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/partials/query.html HTTP/1.1" 200 3689
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/admin/cores?_=1672464551698&indexInfo=false&wt=json HTTP/1.1" 200 575
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/div.gif HTTP/1.1" 200 1093
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/minus-button.png HTTP/1.1" 200 479
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/question-white.png HTTP/1.1" 200 761
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/plus-button.png HTTP/1.1" 200 583
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/admin/info/system?_=1672464551698&wt=json HTTP/1.1" 200 1375
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/in-product-catalog/select?_=1672464551790&indent=true&q=*:*&q.op=OR HTTP/1.1" 200 2745
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/img/ico/ui-address-bar.png HTTP/1.1" 200 349
127.0.0.1 - - [31/Dec/2022:05:29:22 +0000] "GET /solr/admin/cores?_=1672464551698&indexInfo=false&wt=json HTTP/1.1" 200 575
127.0.0.1 - - [31/Dec/2022:05:29:22 +0000] "GET /solr/in-product-catalog/select?_=1672464551790&indent=true&q=*:*&q.op=OR HTTP/1.1" 200 2744
127.0.0.1 - - [31/Dec/2022:05:29:22 +0000] "GET /solr/admin/info/system?_=1672464551698&wt=json HTTP/1.1" 200 1377
